item,views,likes,ctr
0,17537,2475,0.141130179
1,8804,1256,0.142662421
2,5947,879,0.147805616
3,4346,646,0.148642436
4,3463,482,0.139185682
5,2879,422,0.14657867
6,2476,318,0.128432959
7,2221,335,0.150832951
8,1955,262,0.134015352
9,1717,245,0.142690733
10,1600,227,0.141874999
11,1438,219,0.152294859
12,1296,183,0.141203701
13,1227,197,0.1605542
14,1224,196,0.160130724
15,1148,167,0.145470381
16,1073,144,0.134203166
17,954,139,0.145702302
18,926,123,0.132829368
19,810,92,0.113580249
20,903,131,0.145071983
21,775,103,0.132903233
22,792,109,0.137626261
23,690,89,0.128985509
24,719,102,0.141863704
25,684,92,0.134502918
26,611,92,0.150572836
27,647,108,0.166924268
28,616,85,0.137987018
29,568,97,0.170774654
30,574,94,0.163763061
31,497,66,0.132796779
32,503,81,0.161033794
33,546,69,0.126373634
34,525,81,0.154285714
35,498,70,0.140562251
36,493,67,0.135902643
37,454,61,0.134361237
38,442,65,0.14705883
39,411,53,0.12895377
40,440,58,0.131818175
41,426,62,0.14553991
42,421,76,0.180522561
43,412,52,0.126213595
44,381,61,0.16010499
45,390,49,0.125641033
46,380,43,0.113157898
47,377,56,0.148541108
48,332,48,0.144578308
49,346,44,0.127167627
50,336,46,0.136904761
51,368,56,0.152173907
52,331,43,0.129909366
53,363,66,0.181818187
54,336,52,0.15476191
55,354,39,0.110169493
56,294,45,0.153061226
57,286,33,0.115384616
58,324,43,0.132716045
59,300,36,0.119999997
60,285,40,0.140350878
61,280,41,0.14642857
62,276,42,0.152173907
63,263,38,0.144486696
64,283,39,0.137809187
65,272,28,0.102941178
66,271,36,0.132841334
67,243,31,0.127572015
68,273,44,0.161172166
69,258,40,0.155038759
70,259,29,0.111969113
71,254,32,0.125984251
72,237,31,0.130801693
73,175,22,0.125714287
74,222,34,0.153153151
75,221,43,0.194570139
76,213,22,0.103286386
77,233,32,0.137339056
78,228,40,0.175438598
79,209,27,0.1291866
80,205,28,0.13658537
81,195,35,0.179487184
82,201,32,0.159203976
83,187,29,0.155080214
84,197,33,0.167512685
85,233,31,0.133047208
86,181,24,0.132596686
87,188,17,0.0904255286
88,176,22,0.125
89,193,17,0.0880829021
90,181,28,0.154696137
91,201,42,0.208955228
92,215,26,0.120930232
93,192,30,0.15625
94,192,31,0.161458328
95,190,21,0.110526316
96,169,34,0.201183438
97,175,29,0.165714279
98,166,23,0.138554215
99,139,16,0.115107916
100,166,18,0.108433738
101,153,26,0.169934645
102,177,30,0.169491529
103,167,23,0.137724549
104,148,20,0.135135129
105,157,12,0.0764331222
106,152,16,0.105263159
107,173,34,0.196531788
108,182,22,0.120879121
109,156,19,0.121794872
110,156,26,0.166666672
111,162,20,0.123456791
112,174,31,0.178160921
113,138,18,0.130434781
114,131,13,0.0992366448
115,133,22,0.165413529
116,161,29,0.180124223
117,159,23,0.144654095
118,157,22,0.140127391
119,145,21,0.144827589
120,120,18,0.150000006
121,168,21,0.125
122,148,20,0.135135129
123,142,17,0.119718313
124,140,19,0.135714293
125,155,22,0.141935483
126,147,22,0.149659857
127,130,21,0.161538467
128,147,18,0.122448981
129,129,19,0.147286817
130,135,19,0.140740737
131,172,29,0.168604657
132,124,18,0.145161286
133,140,18,0.128571436
134,126,21,0.166666672
135,128,19,0.1484375
136,111,14,0.126126125
137,128,19,0.1484375
138,130,16,0.123076923
139,121,12,0.0991735533
140,114,17,0.149122804
141,124,18,0.145161286
142,114,14,0.122807018
143,116,21,0.181034476
144,137,22,0.160583943
145,117,18,0.15384616
146,118,20,0.169491529
147,105,20,0.190476194
148,137,15,0.109489053
149,133,17,0.127819553
150,126,9,0.0714285746
151,133,18,0.135338351
152,116,12,0.103448279
153,109,23,0.211009175
154,99,15,0.151515156
155,119,21,0.176470593
156,108,23,0.21296297
157,112,17,0.151785716
158,102,13,0.127450988
159,111,14,0.126126125
160,107,19,0.17757009
161,91,10,0.109890111
162,100,15,0.150000006
163,107,12,0.112149529
164,101,19,0.188118815
165,98,16,0.163265303
166,106,12,0.113207549
167,92,15,0.163043484
168,109,10,0.0917431191
169,87,9,0.103448279
170,102,16,0.156862751
171,90,8,0.088888891
172,117,16,0.136752144
173,93,11,0.118279569
174,98,18,0.183673471
175,119,22,0.184873953
176,114,22,0.19298245
177,111,14,0.126126125
178,108,18,0.166666672
179,85,11,0.129411772
180,71,11,0.154929578
181,107,12,0.112149529
182,101,18,0.178217828
183,104,14,0.134615391
184,81,6,0.0740740746
185,93,13,0.139784947
186,103,16,0.155339807
187,103,9,0.0873786435
188,107,12,0.112149529
189,98,17,0.173469394
190,87,7,0.0804597735
191,83,10,0.120481931
192,99,15,0.151515156
193,93,12,0.129032254
194,83,17,0.204819277
195,86,13,0.151162788
196,78,7,0.0897435918
197,103,12,0.116504855
198,89,10,0.112359554
199,80,9,0.112499997
200,92,13,0.141304344
201,79,12,0.151898727
202,92,17,0.184782609
203,86,22,0.255813956
204,78,11,0.141025648
205,76,7,0.092105262
206,75,14,0.186666667
207,88,11,0.125
208,92,16,0.173913047
209,80,11,0.137500003
210,80,12,0.150000006
211,74,17,0.229729727
212,81,14,0.172839507
213,85,15,0.176470593
214,99,11,0.111111112
215,65,4,0.0615384616
216,80,12,0.150000006
217,70,9,0.128571436
218,91,13,0.142857149
219,66,9,0.13636364
220,75,5,0.0666666701
221,80,10,0.125
222,79,7,0.0886075944
223,82,13,0.158536583
224,83,9,0.108433738
225,83,5,0.0602409653
226,84,10,0.119047619
227,93,9,0.0967741907
228,74,6,0.0810810775
229,61,12,0.196721315
230,88,15,0.170454547
231,58,8,0.137931034
232,73,10,0.1369863
233,72,7,0.0972222239
234,72,6,0.0833333358
235,88,16,0.181818187
236,58,12,0.206896558
237,76,8,0.105263159
238,85,11,0.129411772
239,80,11,0.137500003
240,87,13,0.149425283
241,66,4,0.0606060624
242,68,7,0.102941178
243,78,10,0.128205135
244,77,12,0.155844152
245,74,10,0.135135129
246,60,7,0.116666667
247,69,8,0.115942031
248,75,11,0.146666661
249,61,10,0.163934425
250,67,11,0.164179102
251,74,11,0.148648649
252,57,7,0.122807018
253,71,14,0.197183102
254,81,11,0.135802463
255,60,15,0.25
256,52,8,0.15384616
257,77,11,0.142857149
258,59,10,0.169491529
259,73,7,0.0958904102
260,74,7,0.0945945978
261,77,10,0.129870132
262,78,9,0.115384616
263,67,9,0.134328365
264,71,6,0.0845070407
265,62,10,0.161290318
266,78,7,0.0897435918
267,64,10,0.15625
268,71,11,0.154929578
269,69,17,0.246376812
270,68,7,0.102941178
271,52,9,0.173076928
272,60,10,0.166666672
273,69,12,0.173913047
274,58,7,0.120689653
275,61,8,0.131147534
276,66,11,0.166666672
277,73,13,0.178082198
278,70,9,0.128571436
279,68,10,0.14705883
280,56,10,0.178571433
281,60,2,0.0333333351
282,53,4,0.0754716992
283,68,9,0.132352948
284,66,10,0.151515156
285,47,9,0.191489369
286,65,4,0.0615384616
287,68,7,0.102941178
288,63,9,0.142857149
289,57,10,0.175438598
290,51,7,0.137254909
291,70,8,0.114285715
292,61,7,0.114754096
293,63,3,0.0476190485
294,57,8,0.140350878
295,64,8,0.125
296,54,8,0.148148149
297,71,11,0.154929578
298,57,8,0.140350878
299,71,10,0.140845075
300,52,8,0.15384616
301,59,11,0.186440676
302,81,10,0.123456791
303,53,9,0.169811323
304,59,9,0.152542368
305,63,7,0.111111112
306,49,8,0.163265303
307,41,5,0.121951222
308,55,8,0.145454541
309,54,9,0.166666672
310,59,6,0.101694912
311,58,7,0.120689653
312,46,6,0.130434781
313,62,13,0.209677413
314,57,8,0.140350878
315,60,9,0.150000006
316,53,15,0.283018857
317,53,9,0.169811323
318,52,5,0.0961538479
319,51,6,0.117647059
320,59,9,0.152542368
321,54,4,0.0740740746
322,56,4,0.0714285746
323,54,4,0.0740740746
324,54,8,0.148148149
325,59,9,0.152542368
326,48,9,0.1875
327,46,5,0.108695649
328,53,10,0.188679248
329,45,5,0.111111112
330,66,6,0.0909090936
331,40,6,0.150000006
332,51,5,0.0980392173
333,53,3,0.0566037744
